Time, T_zad, F_zm, T_zm, T_pm, T_pco, T_zco, T_0, F_cob0, F_cob1, T_r0, T_r1
 8:35,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:40,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:45,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:50,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:55,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:00,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:05,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:10,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:15,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:20,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:25,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:30,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:35,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:40,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:45,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:50,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 9:55,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:00,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:05,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:10,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:15,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:20,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:25,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:30,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:35,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:40,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:45,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:50,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 10:55,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:00,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:05,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:10,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:15,20,-nan(ind),78.125,-nan(ind),-nan(ind),-nan(ind),2.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:20,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:25,20,-nan(ind),78.125,-nan(ind),-nan(ind),-nan(ind),2.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:30,20,-nan(ind),78.125,-nan(ind),-nan(ind),-nan(ind),2.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:35,20,-nan(ind),78.125,-nan(ind),-nan(ind),-nan(ind),2.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:40,20,-nan(ind),78.125,-nan(ind),-nan(ind),-nan(ind),2.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:45,20,-nan(ind),78.125,-nan(ind),-nan(ind),-nan(ind),2.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:50,20,-nan(ind),78,-nan(ind),-nan(ind),-nan(ind),2.8,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 11:55,20,-nan(ind),78,-nan(ind),-nan(ind),-nan(ind),2.8,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 12:00,20,-nan(ind),78,-nan(ind),-nan(ind),-nan(ind),2.8,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 12:05,20,-nan(ind),78,-nan(ind),-nan(ind),-nan(ind),2.8,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 12:10,20,-nan(ind),77.75,-nan(ind),-nan(ind),-nan(ind),2.9,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 12:15,20,-nan(ind),78,-nan(ind),-nan(ind),-nan(ind),2.8,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 12:20,20,-nan(ind),77.75,-nan(ind),-nan(ind),-nan(ind),2.9,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
